Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Czech Republic,CZE,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012049911,0.045095525,0.136076597,0.294781499,0.473867653,1.94291648,5.112080594,9.392971314,18.95213948,42.4295194,67.9381394,84.33495274,95.1894473,105.6941882,115.2166626,120.9323102,128.2648852,132.7906744,136.5782177,121.7489441,121.6028451,
St. Vincent and the Grenadines,VCT,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.064844836,0.076815578,0.138774528,0.198913838,0.259141686,0.320432677,0.695042954,1.316411573,2.188319693,6.937872151,9.229773463,58.06061613,66.31910543,64.93494552,80.4586937,101.3121218,119.1613695,110.84022,120.5409163,120.5221049,
Sweden,SWE,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0.24475717,0.327241353,0.435928252,0.694958604,0.874210456,1.344088909,2.056303491,2.87350851,4.103105757,5.388587621,6.59414959,7.558773206,8.862677588,15.71107816,22.74851707,28.16640013,35.79199935,46.41548011,57.90463177,71.92087992,80.86045072,89.2962358,98.49595854,97.8506822,100.8268042,105.6793493,110.4294181,108.4133243,112.1241184,116.052977,118.5711258,
Jordan,JOR,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042130633,0.040618343,0.038412578,0.036225358,0.034293553,0.270195949,0.534646598,0.977637654,1.760544278,2.492201938,8.057618908,17.62967673,24.3998846,26.00289594,31.17072898,58.73640631,79.03562381,84.19389485,90.84642856,99.81369465,106.9946197,118.2047588,
Gabon,GAB,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028246051,0.117241197,0.244480713,0.367874614,0.608112036,0.827226371,0.822964915,0.736703948,9.714443921,11.8749332,21.6413851,22.77067501,36.40660303,53.74439441,64.27083751,82.11362868,89.63600885,92.92636144,106.9438439,117.3202491,
Hungary,HUN,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025490733,0.081817762,0.224984895,0.441735074,1.382654187,2.564995287,4.586972281,6.858056024,10.42528862,15.90393558,30.12845054,48.77363149,67.78153319,78.39139384,86.3189789,92.3967397,99.02075401,109.8317244,121.9746762,117.8982583,120.3150052,117.2968185,
Tunisia,TUN,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,0.002911941,0.005093962,0.00790354,0.011600574,0.014792993,0.023146191,0.026161904,0.030753795,0.035644248,0.071796152,0.083554607,0.420905347,0.590208949,1.260189568,4.07699069,5.961420692,19.72325137,38.06492332,57.31094295,73.25983307,77.41692108,83.94545894,94.51945854,106.0421333,116.9302374,
Norway,NOR,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0.040744636,0.268972941,0.569099265,0.943658398,1.518942532,2.088794082,2.868373925,3.621638022,3.97154999,4.640544526,5.499102496,6.601565234,8.61850076,13.57838877,22.51166297,28.76636294,38.00380862,46.67457191,59.6551823,71.79027442,79.5976387,83.56117902,89.0794444,98.64191464,102.8368277,104.2861959,106.684306,109.044815,110.8737646,115.6777513,116.7548724,
Belgium,BEL,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0.038548639,0.07316986,0.193559718,0.310325637,0.430997267,0.515420257,0.614325458,0.675542589,1.273384347,2.333938136,4.73522389,9.635679107,17.33978842,31.40013309,55.31814864,75.37754386,79.01070068,83.52658246,88.16946193,92.22683163,94.00841604,101.8917125,106.9753382,110.4521947,113.4612221,116.6127738,
Croatia,HRV,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005313026,0.044392398,0.13774546,0.24588634,0.465031115,0.721524797,1.394612415,2.603456141,3.982331975,6.497737246,22.92736509,39.15994663,51.78220484,56.93370285,63.72594629,82.16369885,99.12961617,113.7502867,103.0868731,105.9886907,111.9232944,116.3706103,
Portugal,PRT,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028041189,0.065488036,0.126679853,0.373289345,1.010154294,1.721728341,3.366389322,6.526188696,14.75777623,29.98959066,45.38185999,64.48158121,76.85669104,83.17938272,95.57508603,100.6172229,108.5705509,115.5876978,127.0490975,132.1081296,110.6773606,114.376794,114.9203113,
Spain,ESP,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,,,,0.004405703,0.010860274,0.030011435,0.076732069,0.14065617,0.278227718,0.4612763,0.656221948,1.047672707,2.396730612,7.585228541,10.95138507,16.20133552,37.55723998,60.22831552,72.74442987,81.06181339,88.53476705,90.38308258,98.38387171,103.8102102,108.5598895,109.9168374,111.9324982,111.9887152,114.2330168,
Morocco,MAR,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.000257171,0.000440667,0.002879404,0.003647941,0.00594343,0.012527355,0.025758613,0.052006515,0.109589804,0.157160475,0.268768085,0.41536272,1.297878733,8.133854771,16.38128869,21.04530631,24.72217628,31.03793239,40.77590198,52.1291356,64.58731247,72.84366405,80.00993155,100.0966061,113.264873,
Thailand,THA,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0.001539189,0.010818748,0.031719041,0.070953219,0.110777502,0.214083778,0.430364671,0.704872513,1.246954633,2.175729395,3.061209368,3.616887074,3.20620292,3.748521098,4.838886227,11.81554374,15.7349765,33.39159937,41.44489898,46.68253249,60.53116887,78.1368246,90.58003795,95.99190157,103.619585,113.1610259,
Belarus,BLR,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003145223,0.01674904,0.057396023,0.063918135,0.080034244,0.119666344,0.232074778,0.490693302,1.381934322,4.64330238,11.27251693,22.68296241,41.72475767,60.96049811,71.54437581,83.96095733,100.5207961,107.6857389,111.8778807,
San Marino,SMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3.633574226,5.179695593,7.478548374,9.112859257,8.800247133,9.011772827,18.95626356,36.08150352,53.78054659,57.56090477,59.32179392,58.24975011,57.48267277,56.59879212,56.60623027,56.43886864,78.21655234,95.50368315,96.99689224,111.7535844,
